file_number,office,shift_granted,admission_date,condition,shift_date,egress_date,technical,detail,type
p-77173/14,oficina fiscal 9,si,30/7/2014,archivado,6/8/2014,22/8/2014,lo,,p
p2-86559/14,tercer juzgado instrucci�n san rafael,no,7/4/2014,archivado,6/8/2014,11/8/2014,lo,,p2
p-79364/14,oficina fiscal rivadavia,si,7/8/2014,observacion,,2/10/2014,,se cayo turno no enviaron el secuetro. /nuevo turno (tercero)  para el 18-09-14 08:00 horas cristian,p
p-78607/14,oficina fiscal 1,si,31/7/2014,archivado,,28/8/2014,lo,,p
p-78606/14,oficina fiscal 1,si,31/7/2014,archivado,,28/8/2014,lo,,p
p-78573/14,oficina fiscal 2,si,4/8/2014,archivado,,14/8/2014,lo,,p
p2-92326/14,segundo juzgado instrucci�n san rafael,no,7/8/2014,archivado,19/8/2014,21/8/2014,lo,,p2
1,segundo juzgado instrucci�n san rafael,no,3/7/2014,archivado,,7/8/2014,lo,,
p2-87697/14,segundo juzgado instrucci�n san rafael,no,4/7/2014,archivado,,7/8/2014,lo,,p2
p2-90233/14,segundo juzgado instrucci�n san rafael,no,3/7/2014,archivado,,7/8/2014,cn,,p2
p-16716/14,rivadavia-junin,no,11/8/2014,archivado,,21/8/2014,lo,,p
p-74274/14,especial,si,4/8/2014,archivado,,11/8/2014,cn,iphono y samsung gt-s3650 realizado el 29/08/14 retirado el 05/09/14 por fabian mora de la especial,p
p-64724/14,maipu-lujan,si,6/7/2014,archivado,,12/8/2014,cn,,p
p-118966/14,guaymallen,si,,,,,cn,"cristian, fijate porque no coincide el n�mero de expediente con guaymall�n y con ese n� no hay ninguna hecha",p
p-82831/14,oficina fiscal 1,si,13/8/2014,archivado,,15/8/2014,lo,flagrancia,p
p-83363/14,oficina fiscal 2,si,15/8/2014,archivado,,28/8/2014,lo,,p
p-81784/14,oficina fiscal 18,si,,archivado,,14/8/2014,cn,,p
p-78573/14,oficina fiscal 2,si,,archivado,,14/8/2014,lo,,p
p2-69558/14,segundo juzgado instrucci�n san rafael,no,10/4/2014,archivado,19/8/2014,21/8/2014,cn,,p2
p-85463/14,oficina fiscal 1,si,19/8/2014,archivado,,21/8/2014,lo,,p
p-77253/14,oficina fiscal 8,si,28/7/2014,archivado,,19/8/2014,lo,,p
p2-87001/14,tercer juzgado instrucci�n san rafael,no,28/4/2014,archivado,,11/8/2014,lo,,p2
255/14,segunda fiscalia menores san rafael,no,14/7/2014,archivado,,11/8/2014,lo,,
p2-88279/14,tercer juzgado instrucci�n san rafael,no,3/6/2014,archivado,,11/8/2014,lo,,p2
p-12668/14,san martin,no,,archivado,,21/8/2014,lo,,p
p-68400/14,oficina fiscal san martin,si,1/8/2014,archivado,,21/8/2014,cn,,p
p-75015/14,oficina fiscal san martin,no,23/7/2014,archivado,,21/8/2014,lo,,p
p-60773/14,oficina fiscal san martin,no,4/8/2014,archivado,,21/8/2014,cn,,p
17708,juzgado instrucci�n general alvear,no,27/6/2014,archivado,,14/8/2014,lo,,
p-53447/14,maipu-lujan,si,19/8/2014,archivado,,21/8/2014,lo,,p
p-47445/14,capital,si,20/8/2014,archivado,,21/8/2014,lo,,p
p-84439/14,oficina fiscal 9,si,15/8/2014,archivado,,22/8/2014,lo,,p
p-69004/14,oficina fiscal 6,si,14/7/2014,archivado,,22/8/2014,cn,,p
p-70747/14,oficina fiscal 18,si,23/7/2014,archivado,,22/8/2014,cn,,p
p-44716/14,oficina fiscal 9,si,10/7/2014,archivado,,22/8/2014,cn,,p
p-35098/14,rivadavia-junin,no,8/8/2014,archivado,,29/8/2014,lo,,p
p2-86121/14,tercer juzgado instrucci�n san rafael,no,,archivado,27/8/2014,28/8/2014,cn,,p2
p-89321/14,maipu-lujan,si,28/8/2014,archivado,,28/8/2014,cn,,p
p-89126/14,oficina fiscal 5,si,29/8/2014,archivado,,3/9/2014,lo,,p
p-86436/14,oficina fiscal 9,si,26/8/2014,archivado,,2/9/2014,lo,mal especificado el n�mero de expediente (p-86836/14) en la orden de extracci�n corresponde al p-86436/14,p
p-47033/14,guaymallen,si,1/9/2014,archivado,,4/9/2014,lo,,p
p-90986/14,oficina fiscal 2,si,3/9/2014,archivado,,4/9/2014,lo,,p
p-60429/14,primer juzgado garant�as,no,17/6/2014,archivado,4/9/2014,4/9/2014,cn,,p
p-88206/14,oficina fiscal 4,si,3/9/2014,archivado,,9/9/2014,lo,,p
p-34366/14 primero,rivadavia-junin,no,15/8/2014,archivado,,5/9/2014,lo,retira policia de investigativa rivadavia,p
p2-17938,cuarto juzgado instrucci�n san rafael,no,4/9/2014,archivado,15/9/2014,18/9/2014,lo,recibido oficio en udapif 01/10/14,p2
p2-17298,cuarto juzgado instrucci�n san rafael,no,4/9/2014,archivado,15/9/2014,18/9/2014,lo,recibido oficio en udapif 01/10/14,p2
500/14,primera fiscal�a penal menores,si,3/9/2014,archivado,,5/9/2014,cn,,
p-79777/14,oficina fiscal rivadavia,no,25/8/2014,archivado,,5/9/2014,cn,,p
p-91251/14,oficina fiscal san martin,no,9/9/2014,archivado,,2/10/2014,lo,retira ariel morcos de choferes de la tercera circun,p
p2-91773/14,primer juzgado instrucci�n san rafael,no,26/8/2014,archivado,15/9/2014,16/9/2014,lo,,p2
p2-94663/14,tercer juzgado instrucci�n san rafael,no,8/9/2014,archivado,15/9/2014,16/9/2014,lo,,p2
p-73234/13,santa rosa,no,9/4/2014,archivado,,12/9/2014,cn,,p
p-58376/14,oficina fiscal san martin,no,15/9/2014,archivado,,18/9/2014,cn,retira policia de investigativa san martin aux sosa romina,p
